User,Text,Date,Favorites,Retweets,Mentions,HashTags
Factinate,"My Spanish teacher was a monster—but one day, she chose the wrong student as her “next victim.”",2020-09-08 18:17:37+00:00,0,0,,
Factinate,"My Spanish teacher was a monster—but one day, she chose the wrong student as her “next victim.”",2020-09-08 18:17:37+00:00,0,0,,
Factinate,"My Spanish teacher was a monster—but one day, she chose the wrong student as her “next victim.”",2020-09-08 18:17:37+00:00,0,0,,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
LenovoLegion,"Lenovo Legion x @PlayApex Now is your chance to rise above the rest. Unmatched performance, purposeful engineering, modern design. Gear up with a machine as savage as you are. Stylish outside. Savage inside.",2020-09-03 18:26:48+00:00,9,106,@PlayApex,
